Id|Prompt|Relationship
SLP20S07R01Pf|Ai: "I'm sorry. I don't mean to keep making you hang out with me..."|Friend
SLP20S07R02Pf|Ai: "I wonder why...?"|Friend
SLP20S08R01Pf|Ai: "He was just... a normal, good guy. I guess what I felt was a kind of a fleeting thing."|Friend
SLP20S09R01Pf|Things don't look good... You feel Ai is in danger.|Friend
SLP20S09R02Pf|Ai: "Uh... Sorry, was that unnecessary?"|Friend
SLP20S10R01Pl|What will you do?|Lover
SLP20S10R01Pf|What will you do?|Friend
SLP21S01R01Pf|Yumi: "Push the air out... Now, say 'Ahh'!"|Friend
SLP21S01R02Pf|Yumi: "I'll see you next time. Come to practice, okay?"|Friend
SLP21S02R01Pf|The line began...|Friend
SLP21S02R02Pf|Then it went...|Friend
SLP21S02R03Pf|Yumi: "...But I do want us to take it seriously, so give it a shot okay?"|Friend
SLP21S03R01Pf|Yumi: "Huh...? Oh, er... what should I do? We're still..."|Friend
SLP21S03R02Pf|Yumi: "Wh-when did you get here!? Were you listening to me?"|Friend
SLP21S03R03Pf|Yumi is trembling with anger...|Friend
SLP21S04R01Pf|Yumi: "...Was I wrong when I said that?"|Friend
SLP21S04R02Pf|Yumi: "...Anywhere but at home."|Friend
SLP21S04R03Pf|Yumi: "Just forget about this, okay?"|Friend
SLP21S05R01Pf|Yumi: "Main Character-kun... Why are you...?"|Friend
SLP21S05R02Pf|Yumi: "She's pushing herself too far. She's so stupid."|Friend
SLP21S05R03Pf|Yumi: "It's all because of my parents. They're both holding me back."|Friend
SLP21S05R04Pf|Yumi: "It's not like you have anything to do with what's happening in my life."|Friend
SLP21S06R01Pf|Yumi: "...I just came from Dad's-- that man's room..."|Friend
SLP21S06R02Pf|Yumi: "...Why do I have to go through all of this? Why me!?"|Friend
SLP21S07R01Pf|Yumi: "...He's so stupid."|Friend
SLP21S08R01Pf|Yumi: "There's... just somethings I just don't understand."|Friend
SLP21S09R01Pf|Yumi is not doing good.|Friend
SLP21S09R02Pf|Yumi seems to be enduring the tragedy.|Friend
SLP21S09R03Pf|Yumi: "I am good at something... But what kind of thing?"|Friend
SLP21S10R01Pl|Yumi: "I'll turn around, so if you're going to reject me, just leave the room. That way, I won't have to see you go..."|Lover
SLP21S10R01Pf|Yumi: "I'll turn around, so if you're going to reject me, just leave the room. That way, I won't have to see you go..."|Friend
SLP21S10R02Pl|Yumi: "Picturing it... It's kind of embarrassing, huh?"|Lover
SLP22S01R01Pf|Band captain: "So, Main Character, have any experience with musical instruments?"|Friend
SLP22S01R02Pf|Ayane: "Do you have any questions, Senpai?"|Friend
SLP22S01R03Pf|Cleanup looks like a big task for just one person...|Friend
SLP22S02R01Pf|Ayane: "I wish I had as much talent as you."|Friend
SLP22S02R02Pf|Cleanup looks like a big task for just one person...|Friend
SLP22S03R01Pf|Ayane: "I think I'll stick around and practice. I was out so long, I didn't even touch my trombone."|Friend
SLP22S03R02Pf|Ayane: "...Not that I'll be in it, but still..."|Friend
SLP22S03R03Pf|Ayane: "Because there are lots of other things I  can do for the club. Scheduling, accounting, cleaning up..."|Friend
SLP22S04R01Pf|Ayane: "Shoot... I still can't play the part I was messing up last time."|Friend
SLP22S04R02Pf|Ayane: "It'd be nice to be able to play outside, but I'd embarrass myself if I went alone..."|Friend
SLP22S04R03Pf|Ayane: "Oh... I'm distracting you from your own practive, aren't I..."|Friend
SLP22S05R01Pf|As the others leave, Ayane stays engrossed in her practice..."|Friend
SLP22S05R02Pf|Ayane: "I can't... I can't do it..."|Friend
SLP22S07R01Pf|The other members are remaining silent...|Friend
SLP22S07R02Pf|Ayane is weeping...|Friend
SLP22S08R01Pl|What should you do...?|Lover
SLP22S08R01Pf|What should you do...?|Friend
SLP22S09R01Pl|Ayane looks at the ground nervously|Lover
