Hangout Id|Date|Arcana Number|Activity Name
SAH-20110804IV|2011-08-04|IV|Hangout with Emperor
SAH-20110804IX|2011-08-04|IX|Hangout with Hermit
SAH-20110804III|2011-08-04|III|Hangout with Empress
SAH-20110804XV|2011-08-04|XV|Hangout with Devil
SAH-20110804XVI|2011-08-04|XVI|Hangout with Tower
SAH-20110805VII|2011-08-05|VII|Hangout with Chariot
SAH-20110805VI|2011-08-05|VI|Hangout with Lovers
SAH-20110805XIV|2011-08-05|XIV|Hangout with Temperance
SAH-20110805IX|2011-08-05|IX|Hangout with Hermit
SAH-20110805III|2011-08-05|III|Hangout with Empress
SAH-20110805VIII|2011-08-05|VIII|Hangout with Justice
SAH-20110805XV|2011-08-05|XV|Hangout with Devil
SAH-20110806IX|2011-08-06|IX|Hangout with Hermit
SAH-20110806III|2011-08-06|III|Hangout with Empress
SAH-20110806VIII|2011-08-06|VIII|Hangout with Justice
SAH-20110806XVI|2011-08-06|XVI|Hangout with Tower
SAH-20110807I|2011-08-07|I|Hangout with Magician
SAH-20110807IV|2011-08-07|IV|Hangout with Emperor
SAH-20110807VI|2011-08-07|VI|Hangout with Lovers
SAH-20110807XIII|2011-08-07|XIII|Hangout with Death
SAH-20110807IX|2011-08-07|IX|Hangout with Hermit
SAH-20110807III|2011-08-07|III|Hangout with Empress
SAH-20110808VII|2011-08-08|VII|Hangout with Chariot
SAH-20110808II|2011-08-08|II|Hangout with Priestess
SAH-20110808XIV|2011-08-08|XIV|Hangout with Temperance
SAH-20110808IX|2011-08-08|IX|Hangout with Hermit
SAH-20110808III|2011-08-08|III|Hangout with Empress
SAH-20110808VIII|2011-08-08|VIII|Hangout with Justice
SAH-20110809VII|2011-08-09|VII|Hangout with Chariot
SAH-20110809II|2011-08-09|II|Hangout with Priestess
SAH-20110809VI|2011-08-09|VI|Hangout with Lovers
SAH-20110809IX|2011-08-09|IX|Hangout with Hermit
SAH-20110809III|2011-08-09|III|Hangout with Empress
SAH-20110809VIII|2011-08-09|VIII|Hangout with Justice
SAH-20110809XVI|2011-08-09|XVI|Hangout with Tower
SAH-20110810II|2011-08-10|II|Hangout with Priestess
SAH-20110810IV|2011-08-10|IV|Hangout with Emperor
SAH-20110810IX|2011-08-10|IX|Hangout with Hermit
SAH-20110810III|2011-08-10|III|Hangout with Empress
SAH-20110810XV|2011-08-10|XV|Hangout with Devil
SAH-20110811IX|2011-08-11|IX|Hangout with Hermit
SAH-20110811III|2011-08-11|III|Hangout with Empress
SAH-20110811VIII|2011-08-11|VIII|Hangout with Justice
SAH-20110811XV|2011-08-11|XV|Hangout with Devil
SAH-20110811XVI|2011-08-11|XVI|Hangout with Tower
SAH-20110812IX|2011-08-12|IX|Hangout with Hermit
SAH-20110812III|2011-08-12|III|Hangout with Empress
SAH-20110813I|2011-08-13|I|Hangout with Magician
SAH-20110813VII|2011-08-13|VII|Hangout with Chariot
SAH-20110813IV|2011-08-13|IV|Hangout with Emperor
SAH-20110813VI|2011-08-13|VI|Hangout with Lovers
SAH-20110813XIV|2011-08-13|XIV|Hangout with Temperance
SAH-20110813IX|2011-08-13|IX|Hangout with Hermit
SAH-20110813III|2011-08-13|III|Hangout with Empress
SAH-20110814IV|2011-08-14|IV|Hangout with Emperor
SAH-20110814VI|2011-08-14|VI|Hangout with Lovers
SAH-20110814XIII|2011-08-14|XIII|Hangout with Death
SAH-20110814IX|2011-08-14|IX|Hangout with Hermit
SAH-20110814III|2011-08-14|III|Hangout with Empress
SAH-20110814V|2011-08-14|V|Hangout with Hierophant
SAH-20110822I|2011-08-22|I|Hangout with Magician
SAH-20110822VII|2011-08-22|VII|Hangout with Chariot
SAH-20110822II|2011-08-22|II|Hangout with Priestess
SAH-20110822XIV|2011-08-22|XIV|Hangout with Temperance
SAH-20110822IX|2011-08-22|IX|Hangout with Hermit
SAH-20110822III|2011-08-22|III|Hangout with Empress
SAH-20110822V|2011-08-22|V|Hangout with Hierophant
SAH-20110823VII|2011-08-23|VII|Hangout with Chariot
SAH-20110823II|2011-08-23|II|Hangout with Priestess
SAH-20110823VI|2011-08-23|VI|Hangout with Lovers
SAH-20110823IX|2011-08-23|IX|Hangout with Hermit
SAH-20110823III|2011-08-23|III|Hangout with Empress
SAH-20110823XVI|2011-08-23|XVI|Hangout with Tower
SAH-20110824II|2011-08-24|II|Hangout with Priestess
SAH-20110824IV|2011-08-24|IV|Hangout with Emperor
SAH-20110824IX|2011-08-24|IX|Hangout with Hermit
SAH-20110824III|2011-08-24|III|Hangout with Empress
SAH-20110824XV|2011-08-24|XV|Hangout with Devil
SAH-20110825IX|2011-08-25|IX|Hangout with Hermit
SAH-20110825III|2011-08-25|III|Hangout with Empress
SAH-20110825XV|2011-08-25|XV|Hangout with Devil
SAH-20110825XVI|2011-08-25|XVI|Hangout with Tower
SAH-20110826I|2011-08-26|I|Hangout with Magician
SAH-20110826VII|2011-08-26|VII|Hangout with Chariot
SAH-20110826VI|2011-08-26|VI|Hangout with Lovers
SAH-20110826XIV|2011-08-26|XIV|Hangout with Temperance
SAH-20110826IX|2011-08-26|IX|Hangout with Hermit
SAH-20110826III|2011-08-26|III|Hangout with Empress
SAH-20110826V|2011-08-26|V|Hangout with Hierophant
SAH-20110826XV|2011-08-26|XV|Hangout with Devil
SAH-20110827IX|2011-08-27|IX|Hangout with Hermit
SAH-20110827III|2011-08-27|III|Hangout with Empress
SAH-20110827XVI|2011-08-27|XVI|Hangout with Tower
SAH-20110828I|2011-08-28|I|Hangout with Magician
SAH-20110828VII|2011-08-28|VII|Hangout with Chariot
SAH-20110828IV|2011-08-28|IV|Hangout with Emperor
SAH-20110828VI|2011-08-28|VI|Hangout with Lovers
SAH-20110828XIII|2011-08-28|XIII|Hangout with Death
SAH-20110828IX|2011-08-28|IX|Hangout with Hermit
SAH-20110828III|2011-08-28|III|Hangout with Empress
SAH-20110828V|2011-08-28|V|Hangout with Hierophant
SAH-20110829IX|2011-08-29|IX|Hangout with Hermit
SAH-20110829III|2011-08-29|III|Hangout with Empress
SAH-20110829V|2011-08-29|V|Hangout with Hierophant
SAH-20110830I|2011-08-30|I|Hangout with Magician
SAH-20110830VII|2011-08-30|VII|Hangout with Chariot
SAH-20110830II|2011-08-30|II|Hangout with Priestess
SAH-20110830IV|2011-08-30|IV|Hangout with Emperor
SAH-20110830IX|2011-08-30|IX|Hangout with Hermit
SAH-20110830III|2011-08-30|III|Hangout with Empress
SAH-20110830VIII|2011-08-30|VIII|Hangout with Justice
SAH-20110830XVI|2011-08-30|XVI|Hangout with Tower
SAH-20110901VIII|2011-09-01|VIII|Hangout with Justice
SAH-20110901XV|2011-09-01|XV|Hangout with Devil
SAH-20110901XVI|2011-09-01|XVI|Hangout with Tower
SAH-20110902IX|2011-09-02|IX|Hangout with Hermit
SAH-20110902III|2011-09-02|III|Hangout with Empress
SAH-20110902V|2011-09-02|V|Hangout with Hierophant
SAH-20110902XV|2011-09-02|XV|Hangout with Devil
SAH-20110903I|2011-09-03|I|Hangout with Magician
SAH-20110903VII|2011-09-03|VII|Hangout with Chariot
SAH-20110903IV|2011-09-03|IV|Hangout with Emperor
SAH-20110903VI|2011-09-03|VI|Hangout with Lovers
SAH-20110903XI|2011-09-03|XI|Hangout with Strength
SAH-20110903XIV|2011-09-03|XIV|Hangout with Temperance
SAH-20110903IX|2011-09-03|IX|Hangout with Hermit
SAH-20110903III|2011-09-03|III|Hangout with Empress
SAH-20110903XVI|2011-09-03|XVI|Hangout with Tower
SAH-20110904I|2011-09-04|I|Hangout with Magician
SAH-20110904VII|2011-09-04|VII|Hangout with Chariot
SAH-20110904IV|2011-09-04|IV|Hangout with Emperor
SAH-20110904VI|2011-09-04|VI|Hangout with Lovers
SAH-20110904XIII|2011-09-04|XIII|Hangout with Death
SAH-20110904IX|2011-09-04|IX|Hangout with Hermit
SAH-20110904III|2011-09-04|III|Hangout with Empress
SAH-20110904V|2011-09-04|V|Hangout with Hierophant
SAH-20110905I|2011-09-05|I|Hangout with Magician
SAH-20110905VII|2011-09-05|VII|Hangout with Chariot
SAH-20110905II|2011-09-05|II|Hangout with Priestess
SAH-20110905XIX|2011-09-05|XIX|Hangout with Sun
SAH-20110905XII|2011-09-05|XII|Hangout with Hanged Man
SAH-20110905XIV|2011-09-05|XIV|Hangout with Temperance
SAH-20110905IX|2011-09-05|IX|Hangout with Hermit
SAH-20110905III|2011-09-05|III|Hangout with Empress
SAH-20110905V|2011-09-05|V|Hangout with Hierophant
SAH-20110906XIX|2011-09-06|XIX|Hangout with Sun
SAH-20110906IX|2011-09-06|IX|Hangout with Hermit
SAH-20110906III|2011-09-06|III|Hangout with Empress
SAH-20110906V|2011-09-06|V|Hangout with Hierophant
SAH-20110906XVI|2011-09-06|XVI|Hangout with Tower
SAH-20110907II|2011-09-07|II|Hangout with Priestess
SAH-20110907IV|2011-09-07|IV|Hangout with Emperor
SAH-20110907XI|2011-09-07|XI|Hangout with Strength
SAH-20110907XVIII|2011-09-07|XVIII|Hangout with Moon
SAH-20110907XII|2011-09-07|XII|Hangout with Hanged Man
SAH-20110907IX|2011-09-07|IX|Hangout with Hermit
SAH-20110907III|2011-09-07|III|Hangout with Empress
SAH-20110911I|2011-09-11|I|Hangout with Magician
SAH-20110911II|2011-09-11|II|Hangout with Priestess
SAH-20110911IV|2011-09-11|IV|Hangout with Emperor
SAH-20110911VI|2011-09-11|VI|Hangout with Lovers
SAH-20110911XIII|2011-09-11|XIII|Hangout with Death
SAH-20110911IX|2011-09-11|IX|Hangout with Hermit
SAH-20110911III|2011-09-11|III|Hangout with Empress
SAH-20110911V|2011-09-11|V|Hangout with Hierophant
SAH-20110912I|2011-09-12|I|Hangout with Magician
SAH-20110912VII|2011-09-12|VII|Hangout with Chariot
SAH-20110912II|2011-09-12|II|Hangout with Priestess
SAH-20110912XIX|2011-09-12|XIX|Hangout with Sun
SAH-20110912XII|2011-09-12|XII|Hangout with Hanged Man
SAH-20110912XIV|2011-09-12|XIV|Hangout with Temperance
SAH-20110912IX|2011-09-12|IX|Hangout with Hermit
SAH-20110912III|2011-09-12|III|Hangout with Empress
SAH-20110913VII|2011-09-13|VII|Hangout with Chariot
SAH-20110913II|2011-09-13|II|Hangout with Priestess
SAH-20110913XI|2011-09-13|XI|Hangout with Strength
SAH-20110913XIX|2011-09-13|XIX|Hangout with Sun
SAH-20110913XII|2011-09-13|XII|Hangout with Hanged Man
SAH-20110913IX|2011-09-13|IX|Hangout with Hermit
SAH-20110913III|2011-09-13|III|Hangout with Empress
SAH-20110913VIII|2011-09-13|VIII|Hangout with Justice
SAH-20110913XVI|2011-09-13|XVI|Hangout with Tower
SAH-20110914IX|2011-09-14|IX|Hangout with Hermit
SAH-20110914III|2011-09-14|III|Hangout with Empress
SAH-20110916XII|2011-09-16|XII|Hangout with Hanged Man
SAH-20110916XIV|2011-09-16|XIV|Hangout with Temperance
SAH-20110916IX|2011-09-16|IX|Hangout with Hermit
SAH-20110916III|2011-09-16|III|Hangout with Empress
SAH-20110916VIII|2011-09-16|VIII|Hangout with Justice
SAH-20110916XV|2011-09-16|XV|Hangout with Devil
SAH-20110917XI|2011-09-17|XI|Hangout with Strength
SAH-20110917XIV|2011-09-17|XIV|Hangout with Temperance
SAH-20110917IX|2011-09-17|IX|Hangout with Hermit
SAH-20110917III|2011-09-17|III|Hangout with Empress
SAH-20110917XVI|2011-09-17|XVI|Hangout with Tower
SAH-20110918I|2011-09-18|I|Hangout with Magician
SAH-20110918IV|2011-09-18|IV|Hangout with Emperor
SAH-20110918VI|2011-09-18|VI|Hangout with Lovers
SAH-20110918XIII|2011-09-18|XIII|Hangout with Death
SAH-20110918IX|2011-09-18|IX|Hangout with Hermit
SAH-20110918III|2011-09-18|III|Hangout with Empress
SAH-20110918V|2011-09-18|V|Hangout with Hierophant
SAH-20110919VII|2011-09-19|VII|Hangout with Chariot
SAH-20110919II|2011-09-19|II|Hangout with Priestess
SAH-20110919XIV|2011-09-19|XIV|Hangout with Temperance
SAH-20110919IX|2011-09-19|IX|Hangout with Hermit
SAH-20110919III|2011-09-19|III|Hangout with Empress
SAH-20110919VIII|2011-09-19|VIII|Hangout with Justice
SAH-20110920VII|2011-09-20|VII|Hangout with Chariot
SAH-20110920II|2011-09-20|II|Hangout with Priestess
SAH-20110920XI|2011-09-20|XI|Hangout with Strength
SAH-20110920XIX|2011-09-20|XIX|Hangout with Sun
SAH-20110920XII|2011-09-20|XII|Hangout with Hanged Man
SAH-20110920IX|2011-09-20|IX|Hangout with Hermit
SAH-20110920III|2011-09-20|III|Hangout with Empress
SAH-20110920VIII|2011-09-20|VIII|Hangout with Justice
SAH-20110920XVI|2011-09-20|XVI|Hangout with Tower
SAH-20110921II|2011-09-21|II|Hangout with Priestess
SAH-20110921IV|2011-09-21|IV|Hangout with Emperor
SAH-20110921XVIII|2011-09-21|XVIII|Hangout with Moon
SAH-20110921XII|2011-09-21|XII|Hangout with Hanged Man
SAH-20110921IX|2011-09-21|IX|Hangout with Hermit
SAH-20110921III|2011-09-21|III|Hangout with Empress
SAH-20110921VIII|2011-09-21|VIII|Hangout with Justice
SAH-20110921XV|2011-09-21|XV|Hangout with Devil
SAH-20110922I|2011-09-22|I|Hangout with Magician
SAH-20110922VII|2011-09-22|VII|Hangout with Chariot
SAH-20110922II|2011-09-22|II|Hangout with Priestess
SAH-20110922IV|2011-09-22|IV|Hangout with Emperor
SAH-20110922XI|2011-09-22|XI|Hangout with Strength
SAH-20110922XIX|2011-09-22|XIX|Hangout with Sun
SAH-20110922XVIII|2011-09-22|XVIII|Hangout with Moon
SAH-20110922XII|2011-09-22|XII|Hangout with Hanged Man
SAH-20110922IX|2011-09-22|IX|Hangout with Hermit
SAH-20110922III|2011-09-22|III|Hangout with Empress
SAH-20110922XV|2011-09-22|XV|Hangout with Devil
SAH-20110922XVI|2011-09-22|XVI|Hangout with Tower
SAH-20110923II|2011-09-23|II|Hangout with Priestess
SAH-20110923VI|2011-09-23|VI|Hangout with Lovers
SAH-20110923XIV|2011-09-23|XIV|Hangout with Temperance
SAH-20110923IX|2011-09-23|IX|Hangout with Hermit
SAH-20110923III|2011-09-23|III|Hangout with Empress
SAH-20110923VIII|2011-09-23|VIII|Hangout with Justice
SAH-20110923XV|2011-09-23|XV|Hangout with Devil
SAH-20110924I|2011-09-24|I|Hangout with Magician
SAH-20110924VII|2011-09-24|VII|Hangout with Chariot
SAH-20110924IV|2011-09-24|IV|Hangout with Emperor
SAH-20110924VI|2011-09-24|VI|Hangout with Lovers
SAH-20110924XI|2011-09-24|XI|Hangout with Strength
SAH-20110924XIV|2011-09-24|XIV|Hangout with Temperance
SAH-20110924IX|2011-09-24|IX|Hangout with Hermit
SAH-20110924III|2011-09-24|III|Hangout with Empress
SAH-20110924VIII|2011-09-24|VIII|Hangout with Justice
SAH-20110924XVI|2011-09-24|XVI|Hangout with Tower
SAH-20110925I|2011-09-25|I|Hangout with Magician
SAH-20110925IV|2011-09-25|IV|Hangout with Emperor
SAH-20110925VI|2011-09-25|VI|Hangout with Lovers
SAH-20110925XIII|2011-09-25|XIII|Hangout with Death
SAH-20110925IX|2011-09-25|IX|Hangout with Hermit
SAH-20110925III|2011-09-25|III|Hangout with Empress
SAH-20110925V|2011-09-25|V|Hangout with Hierophant
SAH-20110926XIX|2011-09-26|XIX|Hangout with Sun
SAH-20110926IX|2011-09-26|IX|Hangout with Hermit
SAH-20110926III|2011-09-26|III|Hangout with Empress
SAH-20110926V|2011-09-26|V|Hangout with Hierophant
SAH-20110927VII|2011-09-27|VII|Hangout with Chariot
SAH-20110927II|2011-09-27|II|Hangout with Priestess
SAH-20110927IV|2011-09-27|IV|Hangout with Emperor
SAH-20110927XI|2011-09-27|XI|Hangout with Strength
SAH-20110927XIX|2011-09-27|XIX|Hangout with Sun
SAH-20110927XII|2011-09-27|XII|Hangout with Hanged Man
SAH-20110927IX|2011-09-27|IX|Hangout with Hermit
SAH-20110927III|2011-09-27|III|Hangout with Empress
SAH-20110927VIII|2011-09-27|VIII|Hangout with Justice
SAH-20110927XVI|2011-09-27|XVI|Hangout with Tower
SAH-20110928II|2011-09-28|II|Hangout with Priestess
SAH-20110928IV|2011-09-28|IV|Hangout with Emperor
SAH-20110928XI|2011-09-28|XI|Hangout with Strength
SAH-20110928XVIII|2011-09-28|XVIII|Hangout with Moon
SAH-20110928XII|2011-09-28|XII|Hangout with Hanged Man
SAH-20110928IX|2011-09-28|IX|Hangout with Hermit
SAH-20110928III|2011-09-28|III|Hangout with Empress
SAH-20110928XV|2011-09-28|XV|Hangout with Devil
SAH-20110929I|2011-09-29|I|Hangout with Magician
SAH-20110929VII|2011-09-29|VII|Hangout with Chariot
SAH-20110929II|2011-09-29|II|Hangout with Priestess
SAH-20110929IV|2011-09-29|IV|Hangout with Emperor
SAH-20110929XI|2011-09-29|XI|Hangout with Strength
SAH-20110929XIX|2011-09-29|XIX|Hangout with Sun
SAH-20110929XVIII|2011-09-29|XVIII|Hangout with Moon
SAH-20110929XII|2011-09-29|XII|Hangout with Hanged Man
SAH-20110929IX|2011-09-29|IX|Hangout with Hermit
SAH-20110929III|2011-09-29|III|Hangout with Empress
SAH-20110929V|2011-09-29|V|Hangout with Hierophant
SAH-20110929XV|2011-09-29|XV|Hangout with Devil
SAH-20110929XVI|2011-09-29|XVI|Hangout with Tower
SAH-20110930VI|2011-09-30|VI|Hangout with Lovers
SAH-20110930XVIII|2011-09-30|XVIII|Hangout with Moon
SAH-20110930XIV|2011-09-30|XIV|Hangout with Temperance
SAH-20110930IX|2011-09-30|IX|Hangout with Hermit
SAH-20110930III|2011-09-30|III|Hangout with Empress
SAH-20110930VIII|2011-09-30|VIII|Hangout with Justice
SAH-20110930XV|2011-09-30|XV|Hangout with Devil
SAH-20111001IX|2011-10-01|IX|Hangout with Hermit
SAH-20111001III|2011-10-01|III|Hangout with Empress
SAH-20111001VIII|2011-10-01|VIII|Hangout with Justice
SAH-20111001XVI|2011-10-01|XVI|Hangout with Tower
SAH-20111002I|2011-10-02|I|Hangout with Magician
SAH-20111002VII|2011-10-02|VII|Hangout with Chariot
SAH-20111002IV|2011-10-02|IV|Hangout with Emperor
SAH-20111002VI|2011-10-02|VI|Hangout with Lovers
SAH-20111002XIII|2011-10-02|XIII|Hangout with Death
SAH-20111002IX|2011-10-02|IX|Hangout with Hermit
SAH-20111002III|2011-10-02|III|Hangout with Empress
SAH-20111002V|2011-10-02|V|Hangout with Hierophant
SAH-20111003I|2011-10-03|I|Hangout with Magician
SAH-20111003VII|2011-10-03|VII|Hangout with Chariot
SAH-20111003II|2011-10-03|II|Hangout with Priestess
SAH-20111003XIX|2011-10-03|XIX|Hangout with Sun
SAH-20111003XII|2011-10-03|XII|Hangout with Hanged Man
SAH-20111003XIV|2011-10-03|XIV|Hangout with Temperance
SAH-20111003IX|2011-10-03|IX|Hangout with Hermit
SAH-20111003III|2011-10-03|III|Hangout with Empress
SAH-20111003V|2011-10-03|V|Hangout with Hierophant
SAH-20111004XIX|2011-10-04|XIX|Hangout with Sun
SAH-20111004IX|2011-10-04|IX|Hangout with Hermit
SAH-20111004III|2011-10-04|III|Hangout with Empress
SAH-20111004XVI|2011-10-04|XVI|Hangout with Tower
SAH-20111005IX|2011-10-05|IX|Hangout with Hermit
SAH-20111005III|2011-10-05|III|Hangout with Empress
SAH-20111006VIII|2011-10-06|VIII|Hangout with Justice
SAH-20111006XV|2011-10-06|XV|Hangout with Devil
SAH-20111006XVI|2011-10-06|XVI|Hangout with Tower
SAH-20111007V|2011-10-07|V|Hangout with Hierophant
SAH-20111007XV|2011-10-07|XV|Hangout with Devil
SAH-20111008IX|2011-10-08|IX|Hangout with Hermit
SAH-20111008III|2011-10-08|III|Hangout with Empress
SAH-20111008VIII|2011-10-08|VIII|Hangout with Justice
SAH-20111008XVI|2011-10-08|XVI|Hangout with Tower
SAH-20111009I|2011-10-09|I|Hangout with Magician
SAH-20111009IV|2011-10-09|IV|Hangout with Emperor
SAH-20111009VI|2011-10-09|VI|Hangout with Lovers
SAH-20111009XIII|2011-10-09|XIII|Hangout with Death
SAH-20111009IX|2011-10-09|IX|Hangout with Hermit
SAH-20111009III|2011-10-09|III|Hangout with Empress
SAH-20111009V|2011-10-09|V|Hangout with Hierophant
SAH-20111010I|2011-10-10|I|Hangout with Magician
SAH-20111010VII|2011-10-10|VII|Hangout with Chariot
SAH-20111010II|2011-10-10|II|Hangout with Priestess
SAH-20111010XIV|2011-10-10|XIV|Hangout with Temperance
SAH-20111010IX|2011-10-10|IX|Hangout with Hermit
SAH-20111010III|2011-10-10|III|Hangout with Empress
SAH-20111010V|2011-10-10|V|Hangout with Hierophant
SAH-20111011VIII|2011-10-11|VIII|Hangout with Justice
SAH-20111011XVI|2011-10-11|XVI|Hangout with Tower
SAH-20111012IX|2011-10-12|IX|Hangout with Hermit
SAH-20111012III|2011-10-12|III|Hangout with Empress
SAH-20111012VIII|2011-10-12|VIII|Hangout with Justice
SAH-20111012XV|2011-10-12|XV|Hangout with Devil
SAH-20111013II|2011-10-13|II|Hangout with Priestess
SAH-20111013IV|2011-10-13|IV|Hangout with Emperor
SAH-20111013IX|2011-10-13|IX|Hangout with Hermit
SAH-20111013III|2011-10-13|III|Hangout with Empress
SAH-20111013XV|2011-10-13|XV|Hangout with Devil
SAH-20111013XVI|2011-10-13|XVI|Hangout with Tower
SAH-20111016VII|2011-10-16|VII|Hangout with Chariot
SAH-20111016IV|2011-10-16|IV|Hangout with Emperor
SAH-20111016VI|2011-10-16|VI|Hangout with Lovers
SAH-20111016XIII|2011-10-16|XIII|Hangout with Death
SAH-20111016IX|2011-10-16|IX|Hangout with Hermit
SAH-20111016III|2011-10-16|III|Hangout with Empress
SAH-20111016V|2011-10-16|V|Hangout with Hierophant
SAH-20111020VII|2011-10-20|VII|Hangout with Chariot
SAH-20111020II|2011-10-20|II|Hangout with Priestess
SAH-20111020IV|2011-10-20|IV|Hangout with Emperor
SAH-20111020XI|2011-10-20|XI|Hangout with Strength
SAH-20111020XIX|2011-10-20|XIX|Hangout with Sun
SAH-20111020XVIII|2011-10-20|XVIII|Hangout with Moon
SAH-20111020XII|2011-10-20|XII|Hangout with Hanged Man
SAH-20111020IX|2011-10-20|IX|Hangout with Hermit
SAH-20111020III|2011-10-20|III|Hangout with Empress
SAH-20111021VI|2011-10-21|VI|Hangout with Lovers
SAH-20111021X|2011-10-21|X|Hangout with Fortune
SAH-20111021XVIII|2011-10-21|XVIII|Hangout with Moon
SAH-20111021XII|2011-10-21|XII|Hangout with Hanged Man
SAH-20111021XIV|2011-10-21|XIV|Hangout with Temperance
SAH-20111021IX|2011-10-21|IX|Hangout with Hermit
SAH-20111021III|2011-10-21|III|Hangout with Empress
SAH-20111021VIII|2011-10-21|VIII|Hangout with Justice
SAH-20111021XV|2011-10-21|XV|Hangout with Devil
SAH-20111022X|2011-10-22|X|Hangout with Fortune
SAH-20111022IX|2011-10-22|IX|Hangout with Hermit
SAH-20111022III|2011-10-22|III|Hangout with Empress
SAH-20111022VIII|2011-10-22|VIII|Hangout with Justice
SAH-20111022XVI|2011-10-22|XVI|Hangout with Tower
SAH-20111023I|2011-10-23|I|Hangout with Magician
SAH-20111023II|2011-10-23|II|Hangout with Priestess
SAH-20111023IV|2011-10-23|IV|Hangout with Emperor
SAH-20111023VI|2011-10-23|VI|Hangout with Lovers
SAH-20111023XIII|2011-10-23|XIII|Hangout with Death
SAH-20111023IX|2011-10-23|IX|Hangout with Hermit
SAH-20111023III|2011-10-23|III|Hangout with Empress
SAH-20111023V|2011-10-23|V|Hangout with Hierophant
SAH-20111024I|2011-10-24|I|Hangout with Magician
SAH-20111024VII|2011-10-24|VII|Hangout with Chariot
SAH-20111024II|2011-10-24|II|Hangout with Priestess
SAH-20111024X|2011-10-24|X|Hangout with Fortune
SAH-20111024XIX|2011-10-24|XIX|Hangout with Sun
SAH-20111024XII|2011-10-24|XII|Hangout with Hanged Man
SAH-20111024XIV|2011-10-24|XIV|Hangout with Temperance
SAH-20111024IX|2011-10-24|IX|Hangout with Hermit
SAH-20111024III|2011-10-24|III|Hangout with Empress
SAH-20111024VIII|2011-10-24|VIII|Hangout with Justice
SAH-20111025X|2011-10-25|X|Hangout with Fortune
SAH-20111025XIX|2011-10-25|XIX|Hangout with Sun
SAH-20111025IX|2011-10-25|IX|Hangout with Hermit
SAH-20111025III|2011-10-25|III|Hangout with Empress
SAH-20111025V|2011-10-25|V|Hangout with Hierophant
SAH-20111025XVI|2011-10-25|XVI|Hangout with Tower
SAH-20111026II|2011-10-26|II|Hangout with Priestess
SAH-20111026IV|2011-10-26|IV|Hangout with Emperor
SAH-20111026X|2011-10-26|X|Hangout with Fortune
SAH-20111026XI|2011-10-26|XI|Hangout with Strength
SAH-20111026XVIII|2011-10-26|XVIII|Hangout with Moon
SAH-20111026XII|2011-10-26|XII|Hangout with Hanged Man
SAH-20111026IX|2011-10-26|IX|Hangout with Hermit
SAH-20111026III|2011-10-26|III|Hangout with Empress
SAH-20111026VIII|2011-10-26|VIII|Hangout with Justice
SAH-20111026XV|2011-10-26|XV|Hangout with Devil
SAH-20111027V|2011-10-27|V|Hangout with Hierophant
SAH-20111027XV|2011-10-27|XV|Hangout with Devil
SAH-20111027XVI|2011-10-27|XVI|Hangout with Tower
SAH-20111031I|2011-10-31|I|Hangout with Magician
SAH-20111031VII|2011-10-31|VII|Hangout with Chariot
SAH-20111031II|2011-10-31|II|Hangout with Priestess
SAH-20111031XIX|2011-10-31|XIX|Hangout with Sun
SAH-20111031XII|2011-10-31|XII|Hangout with Hanged Man
SAH-20111031XIV|2011-10-31|XIV|Hangout with Temperance
SAH-20111031IX|2011-10-31|IX|Hangout with Hermit
SAH-20111031III|2011-10-31|III|Hangout with Empress
SAH-20111101VII|2011-11-01|VII|Hangout with Chariot
SAH-20111101II|2011-11-01|II|Hangout with Priestess
SAH-20111101X|2011-11-01|X|Hangout with Fortune
SAH-20111101XI|2011-11-01|XI|Hangout with Strength
SAH-20111101XIX|2011-11-01|XIX|Hangout with Sun
SAH-20111101XII|2011-11-01|XII|Hangout with Hanged Man
SAH-20111101IX|2011-11-01|IX|Hangout with Hermit
SAH-20111101III|2011-11-01|III|Hangout with Empress
SAH-20111101XVI|2011-11-01|XVI|Hangout with Tower
SAH-20111102IV|2011-11-02|IV|Hangout with Emperor
SAH-20111102X|2011-11-02|X|Hangout with Fortune
SAH-20111102XVIII|2011-11-02|XVIII|Hangout with Moon
SAH-20111102XII|2011-11-02|XII|Hangout with Hanged Man
SAH-20111102IX|2011-11-02|IX|Hangout with Hermit
SAH-20111102III|2011-11-02|III|Hangout with Empress
SAH-20111102V|2011-11-02|V|Hangout with Hierophant
SAH-20111102XV|2011-11-02|XV|Hangout with Devil
SAH-20111103IX|2011-11-03|IX|Hangout with Hermit
SAH-20111103III|2011-11-03|III|Hangout with Empress
SAH-20111103VIII|2011-11-03|VIII|Hangout with Justice
SAH-20111103XV|2011-11-03|XV|Hangout with Devil
SAH-20111103XVI|2011-11-03|XVI|Hangout with Tower
SAH-20111104IX|2011-11-04|IX|Hangout with Hermit
SAH-20111104III|2011-11-04|III|Hangout with Empress
SAH-20111106XIII|2011-11-06|XIII|Hangout with Death
SAH-20111106IX|2011-11-06|IX|Hangout with Hermit
SAH-20111106III|2011-11-06|III|Hangout with Empress
SAH-20111107I|2011-11-07|I|Hangout with Magician
SAH-20111107VII|2011-11-07|VII|Hangout with Chariot
SAH-20111107II|2011-11-07|II|Hangout with Priestess
SAH-20111107X|2011-11-07|X|Hangout with Fortune
SAH-20111107XIX|2011-11-07|XIX|Hangout with Sun
SAH-20111107XII|2011-11-07|XII|Hangout with Hanged Man
